                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    125,                0.69724,                0.37849,                0.90414,                0.98132,                0.99278,                0.98922,                0.80475,                  0.796,                0.33408,                0.92791,                0.00023,                0.00023,                0.00023
                    126,                0.70319,                0.37674,                 0.8998,                0.97182,                0.98526,                0.98517,                0.80769,                0.78457,                0.34587,                0.92377,             0.00022709,             0.00022709,             0.00022709
                    127,                0.70784,                0.37592,                0.90024,                0.98308,                0.98864,                0.98785,                0.80324,                0.79101,                 0.3343,                0.92358,             0.00022417,             0.00022417,             0.00022417
                    128,                0.69228,                0.36999,                0.90225,                0.98154,                0.98434,                0.98786,                0.80814,                0.78212,                0.33142,                0.91793,             0.00022126,             0.00022126,             0.00022126
                    129,                0.71717,                0.38404,                0.90636,                0.96739,                0.98141,                0.98595,                0.80544,                0.79786,                0.35385,                0.92731,             0.00021835,             0.00021835,             0.00021835
                    130,                0.70973,                0.37756,                0.89921,                0.97576,                 0.9751,                 0.9872,                0.80814,                 0.7886,                0.34257,                0.92225,             0.00021544,             0.00021544,             0.00021544
                    131,                0.69503,                0.37968,                0.89783,                0.96887,                0.98839,                0.98668,                0.80038,                0.78874,                0.34547,                 0.9223,             0.00021253,             0.00021253,             0.00021253
                    132,                0.69145,                0.37671,                0.89443,                 0.9764,                0.98858,                0.98736,                0.80628,                0.78654,                0.33882,                0.92484,             0.00020962,             0.00020962,             0.00020962
                    133,                0.68253,                0.37457,                 0.9005,                0.97685,                0.98877,                0.98784,                0.80391,                0.79224,                0.33675,                0.93447,             0.00020671,             0.00020671,             0.00020671
                    134,                 0.6958,                0.37374,                0.89792,                0.97796,                0.99185,                0.98677,                0.80718,                0.79083,                0.33558,                0.93044,              0.0002038,              0.0002038,              0.0002038
                    135,                0.70297,                0.37311,                0.90394,                0.97658,                0.99232,                0.98739,                 0.8075,                0.78489,                0.33036,                0.92613,             0.00020089,             0.00020089,             0.00020089
                    136,                 0.6795,                0.37216,                0.89639,                0.97722,                0.98486,                0.98803,                0.81147,                0.77969,                0.32853,                0.92478,             0.00019798,             0.00019798,             0.00019798
                    137,                0.68957,                 0.3739,                0.89643,                0.98222,                0.98533,                0.99084,                 0.8128,                0.77584,                0.32978,                0.92277,             0.00019507,             0.00019507,             0.00019507
                    138,                0.68049,                0.36417,                0.89479,                 0.9822,                0.98513,                0.99048,                0.81176,                 0.7848,                0.33131,                0.92149,             0.00019216,             0.00019216,             0.00019216
                    139,                0.69706,                0.36944,                0.89902,                0.98089,                0.98897,                0.98878,                0.81111,                0.77588,                0.33063,                0.92212,             0.00018925,             0.00018925,             0.00018925
                    140,                0.66822,                0.36431,                0.88621,                0.97999,                0.98759,                0.98829,                0.81027,                 0.7698,                0.32633,                0.91869,             0.00018634,             0.00018634,             0.00018634
                    141,                0.67801,                0.36512,                0.89809,                0.97761,                0.98041,                0.98986,                0.80618,                0.79331,                0.33584,                0.92832,             0.00018343,             0.00018343,             0.00018343
                    142,                0.66583,                  0.364,                0.88801,                0.97914,                0.98887,                0.98987,                 0.8194,                 0.7729,                0.32766,                0.92255,             0.00018052,             0.00018052,             0.00018052
                    143,                0.67875,                0.36003,                 0.8928,                0.97564,                0.99193,                0.98834,                0.80882,                0.78006,                0.32975,                0.92326,             0.00017761,             0.00017761,             0.00017761
